dst_addr	prb_id	avg	ASN	Country	Name	NumIPs	type
156.154.123.254	6584	160.5999953333	AS35277	RO	LLHOST INC. SRL	1536	hosting
108.59.192.190	6584	175.385557	AS35277	RO	LLHOST INC. SRL	1536	hosting
151.139.52.113	6584	111.8527733333	AS35277	RO	LLHOST INC. SRL	1536	hosting
206.162.189.131	6584	158.1007113333	AS35277	RO	LLHOST INC. SRL	1536	hosting
188.172.218.22	6584	20.9695353333	AS35277	RO	LLHOST INC. SRL	1536	hosting
178.250.2.47	6584	1.1527653333	AS35277	RO	LLHOST INC. SRL	1536	hosting
91.185.6.14	6584	92.642649	AS35277	RO	LLHOST INC. SRL	1536	hosting
34.97.153.243	6584	230.594627	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.0.0.165	6584	1.32655	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.38.27.194	6584	14.036964	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.102.166.20	6584	165.4154493333	AS35277	RO	LLHOST INC. SRL	1536	hosting
196.10.55.135	6584	181.204695	AS35277	RO	LLHOST INC. SRL	1536	hosting
144.202.18.114	6584	89.3898946667	AS35277	RO	LLHOST INC. SRL	1536	hosting
192.30.89.87	6584	154.7979236667	AS35277	RO	LLHOST INC. SRL	1536	hosting
180.149.98.146	6584	240.823644	AS35277	RO	LLHOST INC. SRL	1536	hosting
81.20.224.220	6584	40.2859516667	AS35277	RO	LLHOST INC. SRL	1536	hosting
13.53.120.216	6584	21.3091233333	AS35277	RO	LLHOST INC. SRL	1536	hosting
35.228.29.222	6584	32.0698056667	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.38.254	6584	134.832226	AS35277	RO	LLHOST INC. SRL	1536	hosting
46.183.219.225	6584	47.164053	AS35277	RO	LLHOST INC. SRL	1536	hosting
190.15.1.6	6584	182.6551516667	AS35277	RO	LLHOST INC. SRL	1536	hosting
45.142.246.158	6584	33.085808	AS35277	RO	LLHOST INC. SRL	1536	hosting
195.37.209.21	6584	23.3316756667	AS35277	RO	LLHOST INC. SRL	1536	hosting
37.10.42.14	6584	78.0331803333	AS35277	RO	LLHOST INC. SRL	1536	hosting
88.86.103.5	6584	26.948894	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.78.49.100	6584	23.5078926667	AS35277	RO	LLHOST INC. SRL	1536	hosting
37.252.254.142	6584	48.2970326667	AS35277	RO	LLHOST INC. SRL	1536	hosting
91.218.5.67	6584	80.3021376667	AS35277	RO	LLHOST INC. SRL	1536	hosting
37.10.41.14	6584	220.064079	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.190.96.41	6584	41.959338	AS35277	RO	LLHOST INC. SRL	1536	hosting
94.136.2.190	6584	32.756282	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.42.136.158	6584	20.9143146667	AS35277	RO	LLHOST INC. SRL	1536	hosting
94.199.170.201	6584	29.6998603333	AS35277	RO	LLHOST INC. SRL	1536	hosting
194.126.158.162	6584	40.3182356667	AS35277	RO	LLHOST INC. SRL	1536	hosting
91.232.156.247	6584	53.1543043333	AS35277	RO	LLHOST INC. SRL	1536	hosting
92.223.109.44	6584	68.062255	AS35277	RO	LLHOST INC. SRL	1536	hosting
45.150.40.189	6584	20.357445	AS35277	RO	LLHOST INC. SRL	1536	hosting
212.3.202.246	6584	68.318165	AS35277	RO	LLHOST INC. SRL	1536	hosting
203.174.85.106	6584	179.039605	AS35277	RO	LLHOST INC. SRL	1536	hosting
