dst_addr	prb_id	avg	ASN	Country	Name	NumIPs	type
192.42.42.166	6584	40.3285856667	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.80.254	6584	6.3983923333	AS35277	RO	LLHOST INC. SRL	1536	hosting
194.116.77.35	6584	31.3562283333	AS35277	RO	LLHOST INC. SRL	1536	hosting
107.162.223.5	6584	137.8862043333	AS35277	RO	LLHOST INC. SRL	1536	hosting
217.198.242.227	6584	20.7683803333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.139.168.19	6584	40.603462	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.17.192.164	6584	30.859969	AS35277	RO	LLHOST INC. SRL	1536	hosting
23.128.248.9	6584	111.4983586667	AS35277	RO	LLHOST INC. SRL	1536	hosting
178.250.0.57	6584	13.2214116667	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.91.165.185	6584	58.6786186667	AS35277	RO	LLHOST INC. SRL	1536	hosting
194.182.187.2	6584	35.8267296667	AS35277	RO	LLHOST INC. SRL	1536	hosting
212.227.112.66	6584	22.8715646667	AS35277	RO	LLHOST INC. SRL	1536	hosting
206.144.243.4	6584	125.0605123333	AS35277	RO	LLHOST INC. SRL	1536	hosting
163.117.253.5	6584	27.051121	AS35277	RO	LLHOST INC. SRL	1536	hosting
132.227.123.3	6584	12.57209	AS35277	RO	LLHOST INC. SRL	1536	hosting
203.175.175.206	6584	275.181596	AS35277	RO	LLHOST INC. SRL	1536	hosting
200.1.122.55	6584	224.5623186667	AS35277	RO	LLHOST INC. SRL	1536	hosting
217.65.161.42	6584	8.5243466667	AS35277	RO	LLHOST INC. SRL	1536	hosting
139.162.3.33	6584	167.8670093333	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.104.85.3	6584	101.403271	AS35277	RO	LLHOST INC. SRL	1536	hosting
217.243.20.18	6584	7.498152	AS35277	RO	LLHOST INC. SRL	1536	hosting
170.254.172.12	6584	150.437108	AS35277	RO	LLHOST INC. SRL	1536	hosting
196.10.53.7	6584	171.9649586667	AS35277	RO	LLHOST INC. SRL	1536	hosting
195.246.236.1	6584	2.0300643333	AS35277	RO	LLHOST INC. SRL	1536	hosting
151.139.52.113	6584	112.2126126667	AS35277	RO	LLHOST INC. SRL	1536	hosting
172.99.232.15	6584	228.6892256667	AS35277	RO	LLHOST INC. SRL	1536	hosting
196.6.220.42	6584	179.371857	AS35277	RO	LLHOST INC. SRL	1536	hosting
13.52.39.20	6584	149.5367946667	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.97.160.7	6584	6.604786	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.138.55.234	6584	19.8373446667	AS35277	RO	LLHOST INC. SRL	1536	hosting
204.8.154.50	6584	72.885855	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.92.0.41	6584	48.0315463333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.93.159.17	6584	41.4308456667	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.99.254	6584	303.9185423333	AS35277	RO	LLHOST INC. SRL	1536	hosting
176.119.210.244	6584	63.048138	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.17.112.95	6584	39.3485983333	AS35277	RO	LLHOST INC. SRL	1536	hosting
163.237.247.18	6584	102.7827876667	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.40.254	6584	112.15612	AS35277	RO	LLHOST INC. SRL	1536	hosting
104.196.238.136	6584	146.435223	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.150.99.5	6584	40.6646796667	AS35277	RO	LLHOST INC. SRL	1536	hosting
200.160.6.19	6584	183.2075836667	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.62.48.193	6584	184.573833	AS35277	RO	LLHOST INC. SRL	1536	hosting
104.225.102.122	6584	130.680763	AS35277	RO	LLHOST INC. SRL	1536	hosting
147.84.200.125	6584	33.707525	AS35277	RO	LLHOST INC. SRL	1536	hosting
198.97.190.53	6584	33.190332	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.0.0.165	6584	1.2894346667	AS35277	RO	LLHOST INC. SRL	1536	hosting
202.12.27.33	6584	10.785144	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.46.104.18	6584	36.0729073333	AS35277	RO	LLHOST INC. SRL	1536	hosting
2.58.52.152	6584	7.8207516667	AS35277	RO	LLHOST INC. SRL	1536	hosting
194.93.76.130	6584	40.4369543333	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.180.254	6584	250.9580896667	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.183.254	6584	181.069852	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.157.231.49	6584	36.7242476667	AS35277	RO	LLHOST INC. SRL	1536	hosting
195.43.87.140	6584	31.9757686667	AS35277	RO	LLHOST INC. SRL	1536	hosting
153.92.43.249	6584	6.7321203333	AS35277	RO	LLHOST INC. SRL	1536	hosting
212.116.14.178	6584	47.4820933333	AS35277	RO	LLHOST INC. SRL	1536	hosting
156.154.37.254	6584	111.327571	AS35277	RO	LLHOST INC. SRL	1536	hosting
198.41.0.4	6584	19.6640756667	AS35277	RO	LLHOST INC. SRL	1536	hosting
188.93.174.26	6584	9.9475593333	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.122.190.141	6584	244.4223893333	AS35277	RO	LLHOST INC. SRL	1536	hosting
176.114.16.104	6584	125.7849063333	AS35277	RO	LLHOST INC. SRL	1536	hosting
